compound,Name,Formula,CAS,MolWeight,C1,C2,C3,C4,Tmin,Dmin,Tmax,Dmax
33,"1,3-Butanediol",C4H10O2,107-88-0,90.121,0.81856,0.24967,676.0,0.22023,196.15,11.872,676.0,3.2786
34,1-Butanol,C4H10O,71-36-3,74.1216,0.98279,0.2683,563.1,0.25488,183.85,12.035,563.1,3.663
35,2-Butanol,C4H10O,78-92-2,74.1216,0.97552,0.26339,535.9,0.26864,158.45,12.473,535.9,3.7037
36,1-Butene,C4H8,106-98-9,56.10632,1.0877,0.26454,419.5,0.2843,87.8,14.264,419.5,4.1117
37,cis-2-Butene,C4H8,590-18-1,56.10632,1.1591,0.27085,435.5,0.28116,134.26,13.894,435.5,4.2795
38,trans-2-Butene,C4H8,624-64-6,56.10632,1.1448,0.27154,428.6,0.28419,167.62,13.08,428.6,4.216
39,Butyl acetate,C6H12O2,123-86-4,116.15828,0.67794,0.2637,575.4,0.29318,199.65,8.3365,575.4,2.5709
40,Butylbenzene,C10H14,104-51-8,134.21816,0.50812,0.25238,660.5,0.29373,185.3,7.0264,660.5,2.0133
41,Butyl mercaptan,C4H10S,109-79-5,90.1872,0.89458,0.27463,570.1,0.28512,157.46,10.585,570.1,3.2574
42,sec-Butyl mercaptan,C4H10S,513-53-1,90.1872,0.89137,0.27365,554.0,0.2953,133.02,10.761,554.0,3.2573
43,1-Butyne,C4H6,107-00-6,54.09044,1.3409,0.27892,440.0,0.29661,147.43,14.901,440.0,4.8075
44,Butyraldehyde,C4H8O,123-72-8,72.10572,1.033873,0.266739,537.2,0.28571,176.8,12.602,537.2,3.876
45,Butyric acid,C4H8O2,107-92-6,88.1051,0.88443,0.25828,615.7,0.248,267.95,11.087,615.7,3.4243
46,Butyronitrile,C4H7N,109-74-0,69.1051,0.79716,0.23168,585.4,0.28071,161.3,13.087,585.4,3.4408
47,Carbon dioxide,CO2,124-38-9,44.0095,2.768,0.26212,304.21,0.2908,216.58,26.828,304.21,10.56
48,Carbon disulfide,CS2,75-15-0,76.1407,1.7968,0.28749,552.0,0.3226,161.11,19.064,552.0,6.25
49,Carbon monoxide,CO,630-08-0,28.0101,2.897,0.27532,132.92,0.2813,68.15,30.18,132.92,10.522
50,Carbon tetrachloride,CCl4,56-23-5,153.8227,0.99835,0.274,556.35,0.287,250.33,10.843,556.35,3.6436
51,Carbon tetrafluoride,CF4,75-73-0,88.0043,1.955,0.27884,227.51,0.28571,89.56,21.211,227.51,7.0112
52,Chlorine,Cl2,7782-50-5,70.906,2.23,0.27645,417.15,0.2926,172.12,24.242,417.15,8.0666
53,Chlorobenzene,C6H5Cl,108-90-7,112.5569,0.8711,0.26805,632.35,0.2799,227.95,10.385,632.35,3.2498
54,Chloroethane,C2H5Cl,75-00-3,64.5141,1.39625,0.26867,460.35,0.28571,136.75,17.055,460.35,5.1969
55,Chloroform,CHCl3,67-66-3,119.37764,1.0841,0.2581,536.4,0.2741,209.63,13.702,536.4,4.2003
56,Chloromethane,CH3Cl,74-87-3,50.4875,1.8651,0.2627,416.25,0.28571,175.43,22.272,416.25,7.0997
57,1-Chloropropane,C3H7Cl,540-54-5,78.54068,1.12465,0.2728,503.15,0.28571,150.35,13.333,503.15,4.1226
58,2-Chloropropane,C3H7Cl,75-29-6,78.54068,1.1202,0.27669,489.0,0.27646,155.97,12.855,489.0,4.0486
59,m-Cresol,C7H8O,108-39-4,108.13782,0.9061,0.28268,705.85,0.2707,285.39,9.6115,705.85,3.2054
60,o-Cresol,C7H8O,95-48-7,108.13782,0.95937,0.2882,697.55,0.2857,304.19,9.5725,697.55,3.3288
61,p-Cresol,C7H8O,106-44-5,108.13782,1.1503,0.31861,704.65,0.30104,307.93,9.4494,704.65,3.6104
62,Cumene,C9H12,98-82-8,120.19158,0.58711,0.25583,631.0,0.28498,177.14,7.9387,631.0,2.2949
63,Cyanogen,C2N2,460-19-5,52.0348,1.7805,0.26846,400.15,0.26079,245.25,18.517,400.15,6.6323
64,Cyclobutane,C4H8,287-23-0,56.10632,1.3931,0.29255,459.93,0.24913,182.48,14.074,459.93,4.7619
65,Cyclohexane,C6H12,110-82-7,84.15948,0.88998,0.27376,553.8,0.28571,279.69,9.3804,553.8,3.2509
66,Cyclohexanol,C6H12O,108-93-0,100.15888,0.8243,0.26545,650.1,0.28495,296.6,9.4693,650.1,3.1053
67,Cyclohexanone,C6H10O,108-94-1,98.143,0.86464,0.26888,653.0,0.29943,242.0,10.09,653.0,3.2157
68,Cyclohexene,C6H10,110-83-8,82.1436,0.92997,0.27056,560.4,0.28943,169.67,11.16,560.4,3.4372
69,Cyclopentane,C5H10,287-92-3,70.1329,1.0897,0.28356,511.7,0.25142,179.28,11.906,511.7,3.8429
70,Cyclopentene,C5H8,142-29-0,68.11702,1.1035,0.27035,507.0,0.28699,138.13,13.47,507.0,4.0817
71,Cyclopropane,C3H6,75-19-4,42.07974,1.7411,0.28205,398.0,0.29598,145.59,18.658,398.0,6.173
72,Cyclohexyl mercaptan,C6H12S,1569-69-3,116.22448,0.78578,0.27882,664.0,0.31067,189.64,8.9048,664.0,2.8182
73,Decanal,C10H20O,112-31-2,156.2652,0.478542,0.275162,674.0,0.28571,285.0,5.2396,674.0,1.7391
74,Decane,C10H22,124-18-5,142.28168,0.41084,0.25175,617.7,0.28571,243.51,5.3927,617.7,1.6319
75,Decanoic acid,C10H20O2,334-48-5,172.265,0.39348,0.2492,722.1,0.28571,304.55,5.1809,722.1,1.579
76,1-Decanol,C10H22O,112-30-1,158.28108,0.38208,0.24645,688.0,0.26125,280.05,5.2609,688.0,1.5503
77,1-Decene,C10H20,872-05-9,140.2658,0.43981,0.25661,616.6,0.29148,206.89,5.7328,616.6,1.7139
78,Decyl mercaptan,C10H22S,143-10-2,174.34668,0.44289,0.27636,696.0,0.27668,247.56,5.0048,696.0,1.6026
79,1-Decyne,C10H18,764-93-2,138.24992,0.46877,0.25875,619.85,0.29479,229.15,5.8954,619.85,1.8117
80,Deuterium,D2,7782-39-0,4.0316,5.2115,0.315,38.35,0.28571,18.73,42.945,38.35,16.544
81,"1,1-Dibromoethane",C2H4Br2,557-91-5,187.86116,0.95523,0.26364,628.0,0.29825,210.15,11.799,628.0,3.6232
82,"1,2-Dibromoethane",C2H4Br2,106-93-4,187.86116,1.0132,0.26634,650.15,0.28571,282.85,11.704,650.15,3.8042
83,Dibromomethane,CH2Br2,74-95-3,173.83458,1.1136,0.24834,611.0,0.27583,220.6,15.358,611.0,4.4842
84,Dibutyl ether,C8H18O,142-96-1,130.22792,0.55941,0.27243,584.1,0.29932,175.3,6.6071,584.1,2.0534
85,m-Dichlorobenzene,C6H4Cl2,541-73-1,147.00196,0.74495,0.26147,683.95,0.31526,248.39,9.1207,683.95,2.8491
86,o-Dichlorobenzene,C6H4Cl2,95-50-1,147.00196,0.74404,0.26112,705.0,0.30815,256.15,9.1658,705.0,2.8494
87,p-Dichlorobenzene,C6H4Cl2,106-46-7,147.00196,0.74858,0.26276,684.75,0.30788,326.14,8.5175,684.75,2.8489
88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,98.95916,1.1055,0.26533,523.0,0.287,176.19,13.549,523.0,4.1665
89,"1,2-Dichloroethane",C2H4Cl2,107-06-2,98.95916,1.2591,0.27698,561.6,0.30492,237.49,13.462,561.6,4.5458
90,Dichloromethane,CH2Cl2,75-09-2,84.93258,1.3897,0.25678,510.0,0.2902,178.01,17.974,510.0,5.412
91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,112.98574,0.9551,0.27794,560.0,0.24132,192.5,10.925,560.0,3.4364
92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,112.98574,0.89833,0.26142,572.0,0.2868,172.71,11.526,572.0,3.4363
93,Diethanol amine,C4H11NO2,111-42-2,105.13564,0.68184,0.23796,736.6,0.2062,301.15,10.39,736.6,2.8654
